timestamp,date,time,activity_type,activity_details,duration_seconds,success,metadata
2025-11-16T20:41:08.672014,2025-11-16,20:41:08,app_opened,App opened at 20:41:08,0,True,
2025-11-16T20:45:10.602368,2025-11-16,20:45:10,app_opened,App opened at 20:45:10,0,True,
2025-11-16T20:45:21.563455,2025-11-16,20:45:21,page_changed,From 🏠 Dashboard Overview to ⏱️ Focus Timer,0,True,
2025-11-16T20:45:34.984177,2025-11-16,20:45:34,page_changed,From ⏱️ Focus Timer to 📅 Schedule Manager,0,True,
2025-11-16T20:48:40.988842,2025-11-16,20:48:40,app_opened,App opened at 20:48:40,0,True,
2025-11-16T20:48:56.076984,2025-11-16,20:48:56,page_changed,From 🏠 Dashboard Overview to 📅 Schedule Manager,0,True,
2025-11-16T20:49:14.538377,2025-11-16,20:49:14,page_changed,From 📅 Schedule Manager to ⏱️ Focus Timer,0,True,
2025-11-16T20:50:54.933623,2025-11-16,20:50:54,app_opened,App opened at 20:50:54,0,True,
2025-11-16T20:51:02.375748,2025-11-16,20:51:02,page_changed,From 🏠 Dashboard Overview to 📊 Analytics & Insights,0,True,
2025-11-16T20:51:06.372266,2025-11-16,20:51:06,page_changed,From 📊 Analytics & Insights to 📅 Schedule Manager,0,True,
2025-11-16T20:51:21.511471,2025-11-16,20:51:21,schedule_created,Created: ossp,0,True,"{""schedule_id"": ""schedule_0_1763306481.511434"", ""category"": ""Study"", ""priority"": ""Medium"", ""notifications_enabled"": true}"
2025-11-16T20:51:46.381474,2025-11-16,20:51:46,page_changed,From 📅 Schedule Manager to ⏱️ Focus Timer,0,True,
2025-11-16T20:56:30.506833,2025-11-16,20:56:30,app_opened,App opened at 20:56:30,0,True,
2025-11-16T20:56:39.432469,2025-11-16,20:56:39,page_changed,From 🏠 Dashboard Overview to 📅 Schedule Manager,0,True,
2025-11-16T20:57:58.929513,2025-11-16,20:57:58,app_opened,App opened at 20:57:58,0,True,
2025-11-16T20:58:07.019878,2025-11-16,20:58:07,page_changed,From 🏠 Dashboard Overview to 📅 Schedule Manager,0,True,
2025-11-16T20:58:28.610940,2025-11-16,20:58:28,schedule_created,Created: ossp,0,True,"{""schedule_id"": ""schedule_0_1763306908.610906"", ""category"": ""Work"", ""priority"": ""Medium"", ""notifications_enabled"": true}"
2025-11-16T20:58:33.097210,2025-11-16,20:58:33,page_changed,From 📅 Schedule Manager to ⏱️ Focus Timer,0,True,
2025-11-16T20:59:24.434879,2025-11-16,20:59:24,blocked_site_added,Added hotstar.com to blocklist,0,True,
2025-11-16T20:59:54.354709,2025-11-16,20:59:54,focus_session_started,Started 25 min session,0,True,"{""duration_planned"": 25, ""notes"": """", ""blocking_enabled"": true, ""camera_enabled"": true}"
2025-11-16T20:59:54.393203,2025-11-16,20:59:54,website_blocking_enabled,Blocked 20 sites,0,True,
2025-11-16T20:59:56.412025,2025-11-16,20:59:56,camera_monitoring_started,Session: session_1763306996.401003,0,True,
2025-11-16T20:59:56.413935,2025-11-16,20:59:56,camera_monitoring_started,Session: session_1763306996.401003,0,True,
2025-11-16T21:01:29.526216,2025-11-16,21:01:29,page_changed,From ⏱️ Focus Timer to 📅 Schedule Manager,0,True,
2025-11-16T21:08:13.622269,2025-11-16,21:08:13,app_opened,App opened at 21:08:13,0,True,
2025-11-16T21:08:39.114439,2025-11-16,21:08:39,page_changed,From 🏠 Dashboard Overview to 📅 Schedule Manager,0,True,
